# InputValue Func1Output Func2Output
0.03 -6.84 1.00
1.00 -1.98 1.21
1.82 0.61 1.13
1.90 0.79 1.10
2.06 1.11 1.01
2.56 1.80 0.63
2.95 2.00 0.25
3.45 1.80 -0.27
3.64 1.58 -0.46
4.03 0.94 -0.76
4.08 0.83 -0.79
4.16 0.65 -0.84
4.25 0.44 -0.88
4.88 -1.53 -0.98
5.09 -2.35 -0.92
5.30 -3.28 -0.83
5.32 -3.38 -0.82
5.44 -3.95 -0.74
5.64 -4.95 -0.60
5.80 -5.85 -0.46
5.89 -6.38 -0.38
6.10 -7.61 -0.18
6.31 -8.95 0.03
6.84 -12.74 0.53
6.96 -13.70 0.63
7.17 -15.40 0.78
7.41 -17.41 0.90
7.52 -18.44 0.95
9.51 -40.38 -0.08
9.56 -40.98 -0.13
9.74 -43.36 -0.31
10.61 -55.85 -0.92
10.65 -56.54 -0.94
10.84 -59.53 -0.99
10.94 -61.01 -1.00
11.07 -63.13 -1.00
11.10 -63.63 -0.99
11.26 -66.29 -0.96
11.37 -68.10 -0.93
11.66 -73.01 -0.79
12.99 -97.71 0.41
13.37 -105.60 0.72
13.93 -117.48 0.98
14.30 -125.73 0.99
14.46 -129.26 0.95
14.51 -130.53 0.93
14.70 -134.90 0.85
14.79 -136.92 0.80
15.16 -145.86 0.52
15.25 -148.12 0.44
15.47 -153.45 0.24
15.86 -163.51 -0.16
15.98 -166.55 -0.27
16.69 -185.51 -0.83
17.26 -201.47 -1.00
17.37 -204.39 -1.00
17.74 -215.15 -0.90
18.13 -226.96 -0.66
18.93 -251.78 0.08
19.04 -255.32 0.19
19.08 -256.51 0.23
19.51 -270.68 0.62
20.42 -301.46 1.00
20.58 -306.91 0.99
20.89 -317.91 0.89
21.30 -332.97 0.64
21.39 -336.19 0.57
21.79 -351.09 0.20
21.85 -353.19 0.14
22.00 -358.98 -0.01
22.14 -364.26 -0.15
22.64 -383.83 -0.61
22.96 -396.59 -0.83
23.11 -402.32 -0.90
23.20 -405.84 -0.93
23.33 -411.16 -0.97
23.62 -423.34 -1.00
23.76 -429.00 -0.98
24.42 -456.95 -0.65
25.27 -494.08 0.14
27.11 -579.12 0.92
27.50 -598.07 0.70
28.22 -634.04 0.05
28.38 -642.30 -0.11
28.61 -653.91 -0.33
29.00 -673.86 -0.66
29.35 -692.50 -0.88
29.39 -694.58 -0.90
29.59 -704.97 -0.97
29.82 -717.43 -1.00
29.87 -719.99 -1.00
30.13 -733.99 -0.96
31.04 -784.34 -0.37
31.13 -789.10 -0.29
31.13 -789.18 -0.28
31.23 -794.76 -0.19
31.59 -815.49 0.17
31.88 -832.05 0.45
31.99 -838.24 0.54
32.01 -839.60 0.56
